date,slight,serious,total_casualties
2018-07-14,60,9,69
2018-07-15,57,7,64
2018-07-16,69,13,82
2018-07-17,82,20,102
2018-07-18,64,14,78
2018-07-19,63,9,72
2018-07-20,68,11,79
2018-07-21,65,4,69
2018-07-22,60,12,72
2018-07-23,78,15,93
2018-07-24,72,8,80
2018-07-25,75,14,89
2018-07-26,68,8,76
2018-07-27,94,10,104
2018-07-28,68,5,73
2018-07-29,66,7,73
2018-07-30,59,11,70
2018-07-31,66,7,73
2018-08-01,83,11,94
2018-08-02,70,13,83
2018-08-03,68,17,85
2018-08-04,64,12,76
2018-08-05,78,9,87
2018-08-06,82,9,91
2018-08-07,70,12,82
2018-08-08,72,13,85
2018-08-09,86,9,95
2018-08-10,93,12,105
2018-08-11,52,13,65
2018-08-12,35,7,42
2018-08-13,58,11,69
2018-08-14,58,12,70
2018-08-15,70,13,83
2018-08-16,57,6,63
2018-08-17,67,7,74
2018-08-18,53,5,58
2018-08-19,43,6,49
2018-08-20,51,7,58
2018-08-21,62,7,69
2018-08-22,64,17,81
2018-08-23,73,9,82
2018-08-24,63,15,78
2018-08-25,60,8,68
2018-08-26,70,10,80
2018-08-27,50,6,56
2018-08-28,59,10,69
2018-08-29,55,8,63
2018-08-30,76,7,83
2018-08-31,57,13,70
2018-09-01,75,7,82
2018-09-02,82,11,93
2018-09-03,65,11,76
2018-09-04,70,14,84
2018-09-05,75,10,85
2018-09-06,71,14,85
2018-09-07,78,8,86
2018-09-08,60,9,69
2018-09-09,72,11,83
2018-09-10,61,9,70
2018-09-11,78,13,91
2018-09-12,73,16,89
2018-09-13,94,16,110
2018-09-14,82,7,89
2018-09-15,79,12,91
2018-09-16,48,9,57
2018-09-17,71,16,87
2018-09-18,67,22,89
2018-09-19,91,12,103
2018-09-20,67,13,80
2018-09-21,78,12,90
2018-09-22,94,9,103
2018-09-23,60,8,68
2018-09-24,81,11,92
2018-09-25,86,13,99
2018-09-26,77,13,90
2018-09-27,79,12,91
2018-09-28,90,12,102
2018-09-29,97,10,107
2018-09-30,63,15,78
2018-10-01,66,13,79
2018-10-02,66,8,74
2018-10-03,87,17,104
2018-10-04,74,7,81
2018-10-05,83,16,99
2018-10-06,95,20,115
2018-10-07,60,10,70
2018-10-08,82,9,91
2018-10-09,89,12,101
2018-10-10,100,17,117
2018-10-11,71,13,84
2018-10-12,81,14,95
2018-10-13,71,8,79
2018-10-14,79,12,91
2018-10-15,55,11,66
2018-10-16,81,12,93
2018-10-17,82,10,92
2018-10-18,59,11,70
2018-10-19,92,19,111
2018-10-20,77,11,88
2018-10-21,70,6,76
2018-10-22,83,17,100
2018-10-23,66,8,74
2018-10-24,69,9,78
2018-10-25,79,12,91
2018-10-26,86,23,109
2018-10-27,72,10,82
2018-10-28,58,8,66
2018-10-29,82,15,97
2018-10-30,50,12,62
2018-10-31,84,11,95
2018-11-01,88,8,96
2018-11-02,111,15,126
2018-11-03,83,8,91
2018-11-04,50,3,53
2018-11-05,53,7,60
2018-11-06,61,12,73
2018-11-07,75,12,87
2018-11-08,94,13,107
2018-11-09,95,15,110
2018-11-10,95,11,106
2018-11-11,82,9,91
2018-11-12,85,13,98
2018-11-13,105,19,124
2018-11-14,81,10,91
2018-11-15,62,15,77
2018-11-16,75,8,83
2018-11-17,71,13,84
2018-11-18,44,14,58
2018-11-19,99,11,110
2018-11-20,86,11,97
2018-11-21,75,14,89
2018-11-22,72,9,81
2018-11-23,82,10,92
2018-11-24,72,6,78
2018-11-25,55,14,69
2018-11-26,73,13,86
2018-11-27,83,11,94
2018-11-28,101,12,113
2018-11-29,76,12,88
2018-11-30,102,12,114
2018-12-01,81,13,94
2018-12-02,56,5,61
2018-12-03,84,6,90
2018-12-04,90,15,105
2018-12-05,73,19,92
2018-12-06,78,14,92
2018-12-07,101,9,110
2018-12-08,77,7,84
2018-12-09,47,7,54
2018-12-10,56,9,65
2018-12-11,83,14,97
2018-12-12,92,16,108
2018-12-13,87,17,104
2018-12-14,74,13,87
2018-12-15,97,7,104
2018-12-16,62,7,69
2018-12-17,74,10,84
2018-12-18,80,12,92
2018-12-19,74,7,81
2018-12-20,67,14,81
