date,slight,serious,total_casualties
2022-11-17,82,4,86
2022-11-18,79,18,97
2022-11-19,57,7,64
2022-11-20,48,3,51
2022-11-21,57,15,72
2022-11-22,64,13,77
2022-11-23,65,11,76
2022-11-24,71,11,82
2022-11-25,79,15,94
2022-11-26,57,8,65
2022-11-27,53,6,59
2022-11-28,92,12,104
2022-11-29,60,12,72
2022-11-30,64,8,72
2022-12-01,55,16,71
2022-12-02,58,9,67
2022-12-03,58,8,66
2022-12-04,31,7,38
2022-12-05,66,9,75
2022-12-06,71,16,87
2022-12-07,59,8,67
2022-12-08,87,12,99
2022-12-09,69,8,77
2022-12-10,58,13,71
2022-12-11,54,11,65
2022-12-12,28,4,32
2022-12-13,41,9,50
2022-12-14,51,8,59
2022-12-15,66,11,77
2022-12-16,54,5,59
2022-12-17,35,6,41
2022-12-18,50,9,59
2022-12-19,46,5,51
2022-12-20,62,13,75
2022-12-21,63,8,71
2022-12-22,48,9,57
2022-12-23,59,7,66
2022-12-24,40,8,48
2022-12-25,27,9,36
2022-12-26,37,4,41
2022-12-27,48,5,53
2022-12-28,43,3,46
2022-12-29,41,2,43
2022-12-30,55,10,65
2022-12-31,32,11,43
