date,slight,serious,total_vehicle_num
2021-09-07,432,120,349270.0
2021-09-08,312,0,427217.0
2021-09-09,408,72,453773.0
2021-09-10,384,48,403292.0
2021-09-13,72,24,22791.0
2021-09-14,168,24,183024.0
2021-09-15,144,24,6879.0
2021-09-16,456,72,268213.0
2021-09-17,360,96,329913.0
2021-09-20,288,72,321241.0
2021-09-21,264,24,227325.0
2021-09-22,360,0,284759.0
2021-09-23,216,24,54900.0
2021-09-24,600,48,342100.0
2021-09-27,240,48,75608.0
2021-09-28,456,0,78304.0
2021-09-29,312,72,286182.0
2021-09-30,456,0,261368.0
2021-10-01,792,24,717027.0
2021-10-04,72,0,8775.0
2021-10-05,216,48,44599.0
2021-10-06,168,0,13391.0
2021-10-07,360,96,140598.0
2021-10-08,480,120,153710.0
2021-10-11,240,0,437275.0
2021-10-13,168,24,114370.0
2021-10-14,0,24,16716.0
2021-10-18,216,48,274854.0
2021-10-19,24,24,128916.0
2021-10-20,120,0,134500.0
2021-10-22,96,0,63200.0
2021-11-02,24,0,20310.0
2021-11-04,24,0,3941.0
2022-03-18,96,24,76514.0
2022-03-22,24,0,6457.0
2022-03-23,120,0,128995.0
2022-03-24,48,0,32238.0
2022-03-25,96,48,92745.0
2022-03-28,216,0,628645.0
2022-03-29,24,0,20539.0
2022-03-30,72,0,67054.0
2022-03-31,216,24,456144.0
2022-04-01,144,72,406010.0
2022-04-19,252,48,242685.0
2022-04-20,504,24,597552.0
2022-04-21,264,48,694687.0
2022-04-22,312,0,424146.0
2022-04-25,336,48,479653.0
2022-04-26,264,0,163347.0
2022-04-27,228,108,264421.0
2022-04-28,96,24,99295.0
2022-04-29,120,96,32856.0
2022-05-03,240,0,156570.0
2022-05-04,288,24,119959.0
2022-05-05,288,72,110263.0
2022-05-06,144,0,185482.0
2022-05-09,264,96,272066.0
2022-05-10,456,48,340318.0
2022-05-11,96,0,27386.0
2022-05-12,384,48,198999.0
2022-05-13,168,24,133790.0
2022-05-16,240,24,106267.0
2022-05-17,540,24,216742.0
2022-05-18,456,24,198928.0
2022-05-19,456,96,616153.0
2022-05-20,48,0,16708.0
2022-05-23,168,0,227962.0
2022-05-24,288,84,110159.0
2022-05-25,336,72,254956.0
2022-05-26,552,168,279816.0
2022-05-27,288,72,312411.0
2022-06-08,312,0,134615.0
2022-06-09,444,120,387377.0
2022-06-10,432,72,178735.0
2022-06-13,336,0,217762.0
2022-06-14,600,96,616584.0
2022-06-15,540,60,188028.0
2022-06-16,96,0,74059.0
2022-06-17,456,96,461644.0
