date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
27/04/2017,66,9,0,6,2,1,1,4,0,3,6,2,8,3,2,1,1,1,1,3,2,5,0,3,2,2,1,0,0,2,2,2,1,2,6
28/04/2017,98,8,3,4,1,1,2,7,0,3,3,2,2,4,1,6,0,8,1,7,1,1,2,6,2,6,6,4,1,1,3,3,4,3,8
29/04/2017,81,8,2,6,2,2,2,3,0,4,4,2,1,3,0,4,0,0,4,3,2,0,0,6,3,0,8,2,3,3,2,3,5,6,4
30/04/2017,82,12,2,2,0,6,2,1,0,12,12,1,1,2,0,1,7,2,1,6,1,1,0,4,1,6,2,2,2,4,0,5,3,0,5
01/05/2017,61,12,0,0,2,1,6,1,1,4,0,2,2,1,2,6,1,3,1,4,5,2,0,5,3,2,7,3,1,1,1,1,0,2,3
02/05/2017,76,8,3,9,0,4,1,2,1,3,1,0,4,3,1,3,0,1,1,5,3,1,1,3,2,0,8,1,2,1,2,4,4,5,5
03/05/2017,83,7,2,1,3,1,6,3,1,1,5,0,1,4,4,2,1,3,1,6,4,6,1,3,7,0,1,3,0,4,1,2,4,3,6
04/05/2017,73,7,0,2,0,3,2,2,2,0,4,3,0,4,5,5,3,3,4,4,4,0,4,5,1,0,5,2,3,2,0,1,1,3,3
05/05/2017,63,16,1,6,0,6,1,2,2,2,6,5,0,2,3,4,0,2,3,2,4,1,1,1,2,1,4,5,2,1,0,2,3,1,4
06/05/2017,64,12,1,4,1,3,7,3,0,3,1,2,2,4,1,2,0,0,2,2,3,4,0,9,2,1,5,2,1,3,2,3,0,0,3
07/05/2017,61,8,0,6,3,2,3,0,1,1,6,2,2,3,3,3,1,4,0,0,3,3,0,4,1,0,2,1,0,2,0,4,1,2,6
08/05/2017,89,9,1,5,5,3,2,7,1,3,0,4,1,2,5,3,1,1,4,4,5,1,2,3,4,1,3,6,2,8,1,2,5,0,3
09/05/2017,91,13,3,2,3,4,4,2,1,3,7,7,1,2,4,8,3,2,3,3,3,1,2,4,3,1,1,9,1,3,1,2,0,5,6
10/05/2017,79,8,2,2,2,2,1,3,0,2,6,4,7,0,3,3,1,1,3,2,2,3,0,7,7,2,6,1,0,4,0,4,2,2,3
11/05/2017,83,13,2,9,2,3,0,3,1,2,3,3,1,0,1,5,3,2,0,0,1,3,5,4,7,7,4,1,0,1,1,6,2,2,12
12/05/2017,90,18,6,6,1,4,6,4,2,6,2,4,1,8,3,3,2,3,4,2,6,4,3,1,2,1,1,3,1,5,1,2,2,3,6
