date,slight,serious
2021-06-11,372,0
2021-06-14,240,72
2021-06-15,576,72
2021-06-16,312,24
2021-06-17,192,24
2021-06-18,96,0
2021-06-21,216,0
2021-06-22,264,48
2021-06-23,192,84
2021-06-24,516,0
2021-06-25,264,48
2021-06-28,408,60
2021-06-29,192,72
2021-06-30,552,48
2021-07-01,480,24
2021-07-02,792,144
2021-07-05,624,48
2021-07-06,72,48
2021-07-07,360,72
2021-07-08,168,0
2021-07-09,120,72
2021-07-13,360,144
2021-07-14,168,24
2021-07-15,144,48
2021-07-16,528,144
2021-07-20,48,0
2021-07-22,168,48
2021-09-01,216,72
2021-09-02,264,96
2021-09-03,312,0
2021-09-06,384,48
2021-09-07,432,120
2021-09-08,312,0
2021-09-09,408,72
2021-09-10,384,48
2021-09-13,72,24
2021-09-14,168,24
2021-09-15,144,24
2021-09-16,456,72
2021-09-17,360,96
2021-09-20,288,72
2021-09-21,264,24
2021-09-22,360,0
2021-09-23,216,24
2021-09-24,600,48
2021-09-27,240,48
2021-09-28,456,0
2021-09-29,312,72
2021-09-30,456,0
2021-10-01,792,24
2021-10-04,72,0
2021-10-05,216,48
2021-10-06,168,0
2021-10-07,360,96
2021-10-08,480,120
2021-10-11,240,0
2021-10-13,168,24
2021-10-14,0,24
2021-10-18,216,48
2021-10-19,24,24
2021-10-20,120,0
2021-10-22,96,0
2021-11-02,24,0
2021-11-04,24,0
2022-03-18,96,24
2022-03-22,24,0
2022-03-23,120,0
2022-03-24,48,0
2022-03-25,96,48
2022-03-28,216,0
2022-03-29,24,0
2022-03-30,72,0
2022-03-31,216,24
2022-04-01,144,72
2022-04-19,252,48
2022-04-20,504,24
2022-04-21,264,48
2022-04-22,312,0
2022-04-25,336,48
2022-04-26,264,0
2022-04-27,228,108
2022-04-28,96,24
2022-04-29,120,96
2022-05-03,240,0
2022-05-04,288,24
2022-05-05,288,72
2022-05-06,144,0
2022-05-09,264,96
2022-05-10,456,48
2022-05-11,96,0
2022-05-12,384,48
2022-05-13,168,24
2022-05-16,240,24
2022-05-17,540,24
2022-05-18,456,24
2022-05-19,456,96
2022-05-20,48,0
2022-05-23,168,0
2022-05-24,288,84
2022-05-25,336,72
2022-05-26,552,168
2022-05-27,288,72
2022-06-08,312,0
2022-06-09,444,120
2022-06-10,432,72
2022-06-13,336,0
2022-06-14,600,96
2022-06-15,540,60
2022-06-16,96,0
2022-06-17,456,96
2022-06-20,648,48
2022-06-27,324,24
2022-06-28,204,48
2022-06-29,288,72
2022-06-30,120,24
2022-07-01,408,0
2022-07-04,396,36
2022-07-05,408,48
2022-07-06,240,60
2022-07-07,432,24
2022-07-08,624,0
2022-07-11,480,0
2022-07-12,120,0
2022-07-13,384,48
2022-07-14,720,96
2022-07-15,72,0
2022-07-21,96,24
2022-09-07,96,24
2022-09-08,576,48
2022-09-09,144,72
2022-09-12,384,48
2022-09-13,288,24
2022-09-14,96,0
2022-09-16,24,0
2022-09-20,96,48
2022-09-21,360,96
2022-09-22,504,48
2022-09-23,888,96
2022-09-26,288,24
2022-09-27,384,48
2022-09-28,552,96
2022-09-29,504,96
2022-09-30,528,120
2022-10-03,264,24
2022-10-04,528,144
2022-10-05,24,0
2022-10-07,312,24
2022-10-10,120,24
2022-10-11,312,72
2022-10-12,48,24
2022-10-13,408,72
2022-10-14,336,0
2022-10-17,96,0
2022-10-18,72,24
2022-10-19,96,24
