date,slight,serious,barking and dagenham collision,barnet collision,bexley collision,brent collision,bromley collision,camden collision,city of london collision,croydon collision,ealing collision,enfield collision,greenwich collision,hackney collision,hammersmith and fulham collision,haringey collision,harrow collision,havering collision,hillingdon collision,hounslow collision,islington collision,kensington an chelsea collision,kingston upon thames collision,lambeth collision,lewisham collision,merton collision,newham collision,redbridge collision,richmond upon thames collision,southwark collision,sutton collision,tower hamlets collision,waltham forest collision,wandsworth collision,westminster collision,all counted vehicles,barking and dagenham,barnet,bexley,brent,bromley,camden,city of london,croydon,ealing,enfield,greenwich,hackney,hammersmith and fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington and chelsea,kingston upon thames,lambeth,lewisham,merton,newham,redbridge,richmond upon thames,southwark,sutton,tower hamlets,waltham forest,wandsworth,westminster
11/05/2017,83,13,2,9,2,3,0,3,1,2,3,3,1,0,1,5,3,2,0,0,1,3,5,4,7,7,4,1,0,1,1,6,2,2,12,253570,0,0,0,0,14390,0,0,0,0,0,0,19469,0,0,0,0,21702,0,17382,0,88697,0,0,0,91930,0,0,0,0,0,0,0,0
12/05/2017,90,18,6,6,1,4,6,4,2,6,2,4,1,8,3,3,2,3,4,2,6,4,3,1,2,1,1,3,1,5,1,2,2,3,6,62367,0,0,0,0,0,0,0,8795,0,0,0,0,0,0,0,0,0,0,0,0,0,3067,25318,0,0,0,0,24214,0,973,0,0,0
15/05/2017,78,6,3,3,3,6,1,3,2,3,1,0,2,2,2,0,0,5,1,1,2,5,0,8,4,2,3,1,2,2,3,1,3,6,4,79966,0,0,0,0,0,44955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15379,0,0,0,17874,0,1758,0,0,0,0
16/05/2017,101,10,3,8,3,6,2,2,1,2,3,2,5,4,2,5,2,0,1,6,3,1,0,3,3,2,0,0,3,5,3,4,3,7,17,6719,0,0,0,0,0,0,0,829,198,0,0,0,0,3099,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,2157,0
17/05/2017,80,5,1,7,0,6,2,8,2,3,0,5,1,3,1,0,1,2,2,5,2,2,0,4,0,1,1,3,2,4,2,1,3,6,5,86528,0,49776,14013,0,0,0,0,0,13432,0,0,3299,0,0,0,0,0,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,3619,0
18/05/2017,87,11,0,7,2,10,0,2,2,6,3,4,4,2,1,7,2,2,4,2,3,0,0,8,1,1,3,2,1,5,1,7,2,1,3,86807,21809,23293,452,0,0,0,0,15074,0,0,0,0,0,0,0,0,20666,0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,4574
19/05/2017,88,14,1,3,4,5,7,5,2,3,2,2,2,1,4,4,2,3,1,5,5,3,0,4,1,3,1,0,2,8,2,7,2,3,5,146278,0,1446,0,18510,0,0,0,0,0,0,0,0,0,0,0,4629,1940,24736,0,0,0,0,3715,0,0,0,0,0,0,0,91302,0,0
22/05/2017,77,9,5,3,0,3,1,1,2,2,3,0,2,5,1,11,1,2,2,4,4,4,1,2,5,2,4,2,2,5,1,2,2,1,1,7857,0,0,0,0,0,0,0,0,0,0,0,0,1737,0,0,0,0,0,5672,0,0,0,0,0,144,0,304,0,0,0,0,0,0
23/05/2017,76,12,5,3,1,2,2,0,1,2,1,4,8,2,2,2,2,0,3,1,4,4,1,7,1,0,2,4,0,5,0,6,5,5,3,55690,0,0,0,4569,0,0,0,16276,0,0,0,0,0,10822,0,8751,0,0,0,0,0,0,0,0,0,0,0,0,15272,0,0,0,0
24/05/2017,86,14,3,3,2,4,4,2,1,8,7,1,3,0,3,7,0,0,2,0,6,3,0,8,2,4,2,1,1,4,2,9,1,2,5,176013,0,0,0,0,0,0,0,0,0,0,0,0,0,13026,22175,23238,108342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9232,0
